Longitude,Latitude,EC1,EC2,Elevation
-96.498227,41.165299,16.5,18.4,356.8
-96.498227,41.165341,18.1,19.7,356.8
-96.498226,41.165383,17.8,21.2,356.8
-96.498226,41.165427,17.8,20.9,356.8
-96.498227,41.165471,18.2,21.4,356.8
-96.498227,41.165514,19.0,22.9,356.8
-96.498225,41.165558,20.7,24.9,356.8
-96.498224,41.165601,23.6,32.4,356.8
-96.498224,41.165644,27.6,41.2,356.8
-96.498225,41.165687,33.9,58.6,356.8
-96.498225,41.165731,45.0,69.4,356.8
-96.498224,41.165775,46.6,67.6,356.8
-96.498223,41.165819,44.2,66.2,356.8
-96.498223,41.165863,44.9,65.8,356.8
-96.498224,41.165906,42.0,61.5,356.8
-96.498224,41.16595,42.7,79.3,356.8
-96.498224,41.165994,37.0,71.5,356.8
-96.498223,41.166038,45.7,66.6,356.8
-96.498222,41.166081,38.2,54.3,356.8
-96.498221,41.166125,37.3,48.9,356.8
-96.498221,41.166169,34.2,43.7,356.8
-96.498222,41.166213,35.6,43.6,356.8
-96.498222,41.166256,33.8,44.6,356.8
-96.498222,41.1663,33.9,43.0,356.8
-96.49822,41.166344,33.5,49.4,356.8
-96.498219,41.166388,31.4,43.6,356.8
-96.498217,41.166432,24.0,37.7,356.8
-96.498216,41.166475,21.0,30.6,356.8
-96.498215,41.166519,21.1,30.1,356.8
-96.498214,41.166564,23.6,32.7,356.8
-96.498212,41.166609,24.2,35.0,356.8
-96.498211,41.166653,26.4,41.6,356.8
-96.498208,41.166697,29.2,40.7,356.7
-96.498206,41.166741,28.4,39.9,356.7
-96.498204,41.166786,29.6,43.9,356.7
-96.498204,41.16683,32.6,47.8,356.7
-96.498203,41.166874,23.7,28.8,356.7
-96.498203,41.166919,19.9,21.8,356.7
-96.498201,41.166963,20.3,20.1,356.7
-96.498201,41.167007,17.8,16.1,356.7
-96.498201,41.167051,16.8,15.2,356.7
-96.498201,41.167096,17.6,16.0,356.7
-96.4982,41.16714,20.2,17.2,356.7
-96.498199,41.167184,18.0,17.3,356.7
-96.498198,41.167229,17.2,15.0,356.7
-96.498197,41.167273,16.4,12.3,356.7
-96.498198,41.167317,16.5,12.2,356.7
-96.498198,41.167361,16.6,12.1,356.7
-96.498198,41.167405,15.1,10.6,356.7
-96.498197,41.167449,13.3,10.2,356.7
-96.498196,41.167493,12.1,9.9,356.7
-96.498196,41.167537,12.8,10.0,356.7
-96.498196,41.16758,13.6,11.0,356.7
-96.498196,41.167625,15.1,12.3,356.7
-96.498196,41.16767,15.4,11.3,356.7
-96.498195,41.167714,15.5,10.3,356.7
-96.498195,41.167758,15.3,11.0,356.7
-96.498194,41.167802,16.8,12.3,356.7
-96.498193,41.167846,18.1,13.7,356.7
-96.498193,41.16789,20.0,13.7,356.7
-96.498192,41.167934,18.0,12.3,356.7
-96.49819,41.167978,15.9,11.4,356.7
-96.49819,41.168022,15.7,11.2,356.7
-96.49819,41.168066,18.0,11.7,356.7
-96.49819,41.16811,18.8,12.2,356.7
-96.49819,41.168153,20.5,13.8,356.7
-96.498189,41.168192,18.0,13.4,356.7
-96.498189,41.168224,16.7,13.7,356.7
-96.498189,41.168248,18.7,15.6,356.7
-96.498189,41.168269,19.6,16.9,356.7
-96.498189,41.168288,19.8,18.0,356.7
-96.498184,41.168305,20.4,18.9,356.7
-96.498171,41.168321,20.7,18.8,356.7
-96.498152,41.168329,19.8,21.1,356.7
-96.498131,41.16833,11.1,17.7,356.7
-96.49811,41.168326,11.1,14.6,356.7
-96.498091,41.168317,10.9,17.0,356.7
-96.498078,41.168304,12.7,13.5,356.7
-96.498068,41.168286,8.8,14.7,356.7
-96.498062,41.168262,8.9,16.0,356.7
-96.498062,41.168234,19.3,15.2,356.7
-96.498062,41.168202,19.2,16.4,356.7
-96.498062,41.168166,15.7,14.9,356.7
-96.498056,41.168127,13.2,12.8,356.7
-96.49805,41.168085,11.5,12.0,356.7
-96.49805,41.168043,10.6,10.7,356.7
-96.498051,41.168,11.5,9.7,356.7
-96.498051,41.167956,12.3,10.2,356.7
-96.498057,41.167912,13.9,10.4,356.7
-96.498063,41.167869,15.2,11.2,356.7
-96.498063,41.167827,15.9,11.8,356.7
-96.498063,41.167784,13.5,12.8,356.7
-96.498064,41.167741,10.0,10.5,356.7
-96.498064,41.167698,9.5,11.4,356.7
-96.498065,41.167656,9.5,10.5,356.7
-96.498066,41.167613,9.7,11.2,356.7
-96.498065,41.167569,9.1,10.6,356.7
-96.498065,41.167525,9.5,10.7,356.7
-96.498065,41.167482,10.2,10.2,356.7
-96.498065,41.167439,10.4,9.8,356.7
-96.498066,41.167396,10.0,9.5,356.7
-96.498066,41.167353,10.1,9.8,356.7
-96.498066,41.16731,10.3,10.0,356.7
-96.498065,41.167267,10.4,9.6,356.7
-96.498066,41.167224,10.3,10.7,356.7
-96.498068,41.16718,12.2,11.0,356.7
-96.49807,41.167137,12.0,11.8,356.7
-96.498071,41.167095,14.2,15.9,356.7
-96.498071,41.167052,16.7,17.1,356.7
-96.498071,41.167009,14.9,15.3,356.7
-96.498072,41.166967,13.1,14.9,356.7
-96.498073,41.166924,14.1,16.4,356.7
-96.498074,41.166882,16.7,19.2,356.7
-96.498074,41.166839,22.0,26.5,356.7
-96.498075,41.166797,25.1,37.3,356.7
-96.498076,41.166755,20.6,40.4,356.7
-96.498076,41.166713,19.6,40.0,356.7
-96.498078,41.16667,18.7,38.1,356.7
-96.498079,41.166628,16.6,35.6,356.8
-96.49808,41.166585,18.7,29.8,356.8
-96.498081,41.166542,16.7,26.5,356.8
-96.498083,41.166499,14.4,24.4,356.8
-96.498084,41.166456,13.9,24.9,356.8
-96.498085,41.166414,14.9,25.0,356.8
-96.498086,41.166371,14.1,26.3,356.8
-96.498087,41.166328,18.2,29.7,356.8
-96.498087,41.166285,20.3,41.8,356.8
-96.498088,41.166242,23.7,40.0,356.8
-96.498089,41.166199,19.9,41.0,356.8
-96.498091,41.166156,19.6,36.7,356.8
-96.49809,41.166113,20.7,38.9,356.8
-96.49809,41.166069,26.8,41.8,356.8
-96.49809,41.166026,23.8,43.2,356.8
-96.498089,41.165983,26.9,45.8,356.8
-96.49809,41.16594,32.3,49.3,356.8
-96.498091,41.165897,27.0,42.1,356.8
-96.498093,41.165765,31.9,46.5,356.8
-96.498094,41.165722,30.5,57.1,356.8
-96.498096,41.16568,28.8,57.2,356.8
-96.498096,41.165637,31.5,65.3,356.8
-96.498096,41.165593,17.4,30.8,356.8
-96.498096,41.16555,14.6,24.8,356.8
-96.498096,41.165507,12.9,23.1,356.8
-96.498095,41.165464,12.9,21.0,356.8
-96.498094,41.165421,13.4,19.1,356.8
-96.498094,41.165377,13.7,18.6,356.8
-96.498094,41.165334,12.9,17.5,356.8
-96.498095,41.165291,13.0,16.1,356.8
-96.498096,41.165248,10.6,14.0,356.8
-96.498097,41.165206,12.1,18.9,356.8
-96.498098,41.165164,11.6,14.0,356.8
-96.498099,41.165127,12.9,13.8,356.8
-96.498099,41.165099,10.2,11.0,356.8
-96.498099,41.165074,7.7,11.2,356.8
-96.4981,41.165052,6.9,8.7,356.8
-96.498099,41.165033,7.9,7.4,356.8
-96.498095,41.165016,8.9,10.2,356.8
-96.498085,41.165002,10.6,11.5,356.8
-96.49807,41.16499,10.3,11.1,356.8
-96.498052,41.164981,6.6,9.5,356.8
-96.498033,41.164975,6.4,8.1,356.8
-96.498014,41.164975,6.1,8.6,356.8
-96.497996,41.164981,6.2,11.3,356.8
-96.497981,41.164989,11.1,16.9,356.8
-96.497974,41.165002,14.3,15.2,356.8
-96.497972,41.165025,12.7,11.6,356.8
-96.497969,41.165058,12.8,14.8,356.8
-96.497967,41.165099,14.4,18.0,356.8
-96.497967,41.165141,16.0,23.3,356.8
-96.497968,41.165183,17.1,22.4,356.8
-96.497967,41.165226,16.6,19.4,356.8
-96.497967,41.165267,13.1,18.6,356.8
-96.497966,41.165309,11.9,18.7,356.8
-96.497966,41.165351,12.4,19.2,356.8
-96.497965,41.165394,13.0,19.9,356.8
-96.497965,41.165437,12.7,19.8,356.8
-96.497964,41.16548,15.0,21.7,356.8
-96.497964,41.165522,15.1,21.9,356.8
-96.497964,41.165565,15.9,24.4,356.8
-96.497963,41.165607,20.5,30.9,356.8
-96.497963,41.16565,34.6,67.3,356.8
-96.497964,41.165692,36.6,61.7,356.8
-96.497964,41.165735,30.9,49.2,356.8
-96.497965,41.165777,31.3,49.5,356.8
-96.497965,41.16582,29.6,47.5,356.8
-96.497963,41.165863,34.3,47.6,356.8
-96.497963,41.165906,31.7,42.4,356.8
-96.497963,41.165948,28.5,45.2,356.8
-96.497963,41.165991,27.8,44.0,356.8
-96.497963,41.166034,28.0,45.5,356.8
-96.497962,41.166077,28.0,44.4,356.8
-96.497961,41.166119,28.8,47.0,356.8
-96.49796,41.166162,27.8,48.6,356.8
-96.497959,41.166204,21.5,38.8,356.8
-96.497959,41.166247,19.8,30.9,356.8
-96.497958,41.16629,18.8,22.8,356.8
-96.497958,41.166334,18.0,22.4,356.8
-96.497957,41.166377,16.3,23.8,356.8
-96.497956,41.166421,16.5,24.9,356.8
-96.497955,41.166464,18.7,29.1,356.8
-96.497955,41.166507,24.1,39.1,356.8
-96.497953,41.166551,29.0,41.6,356.8
-96.497951,41.166594,28.4,41.4,356.8
-96.497951,41.166637,27.3,42.9,356.8
-96.49795,41.166681,28.6,46.7,356.7
-96.497949,41.166725,27.0,38.1,356.7
-96.497948,41.166768,22.2,29.7,356.7
-96.497947,41.166811,19.3,22.7,356.7
-96.497946,41.166855,20.2,21.0,356.7
-96.497945,41.166898,18.4,18.5,356.7
-96.497944,41.166941,14.7,15.8,356.7
-96.497944,41.166985,14.1,14.6,356.7
-96.497943,41.167028,12.3,12.8,356.7
-96.497943,41.16707,12.2,10.1,356.7
-96.497944,41.167114,12.8,12.0,356.7
-96.497943,41.167158,11.0,11.2,356.7
-96.497941,41.167202,10.4,12.0,356.7
-96.49794,41.167245,11.7,11.5,356.7
-96.497939,41.167288,11.6,9.9,356.7
-96.497938,41.167331,11.4,10.2,356.7
-96.497937,41.167374,10.1,9.6,356.7
-96.497937,41.167418,9.0,9.7,356.7
-96.497937,41.167461,8.8,10.1,356.7
-96.497937,41.167504,8.7,10.5,356.7
-96.497938,41.167547,8.4,12.9,356.7
-96.497938,41.167591,7.9,11.7,356.7
-96.497938,41.167633,8.1,11.0,356.7
-96.497938,41.167676,10.6,11.1,356.7
-96.497937,41.167719,12.3,12.4,356.7
-96.497936,41.167762,11.1,10.9,356.7
-96.497936,41.167805,10.6,11.4,356.7
-96.497935,41.167849,11.7,13.1,356.7
-96.497935,41.167892,12.5,14.9,356.7
-96.497935,41.167934,13.4,14.2,356.7
-96.497935,41.16797,16.0,16.8,356.7
-96.497935,41.167998,13.7,17.7,356.7
-96.497935,41.168018,14.2,17.3,356.7
-96.497933,41.168037,12.1,16.0,356.7
-96.497923,41.168056,13.3,16.6,356.7
-96.497906,41.16807,17.9,18.3,356.7
-96.497887,41.168073,16.1,18.3,356.7
-96.497864,41.168067,16.7,18.1,356.7
-96.49784,41.168056,11.0,16.5,356.7
-96.49782,41.168044,6.9,12.5,356.7
-96.497804,41.168029,7.4,13.3,356.7
-96.497796,41.168011,15.8,16.7,356.7
-96.497795,41.167992,18.9,17.2,356.7
-96.497794,41.167972,17.2,16.8,356.7
-96.497794,41.167946,16.1,15.8,356.7
-96.497793,41.16791,16.9,16.3,356.7
-96.497793,41.167868,15.6,14.8,356.7
-96.497793,41.167825,13.4,13.6,356.7
-96.497793,41.167782,13.0,13.8,356.7
-96.497794,41.167739,13.0,19.4,356.7
-96.497795,41.167697,12.0,21.9,356.7
-96.497795,41.167654,14.6,21.9,356.7
-96.497795,41.16761,12.4,14.7,356.7
-96.497796,41.167567,14.0,16.8,356.7
-96.497797,41.167523,13.2,18.8,356.7
-96.497797,41.167481,13.1,14.8,356.7
-96.497798,41.167438,11.3,11.9,356.7
-96.497799,41.167395,10.3,10.1,356.7
-96.497799,41.167352,11.2,13.8,356.7
-96.497799,41.167309,14.9,19.9,356.7
-96.4978,41.167266,11.0,9.7,356.7
-96.4978,41.167223,11.4,9.7,356.7
-96.4978,41.16718,13.6,9.9,356.7
-96.4978,41.167136,12.8,10.4,356.7
-96.4978,41.167094,11.6,10.8,356.7
-96.4978,41.167051,13.4,11.2,356.7
-96.4978,41.167008,14.0,12.0,356.7
-96.497802,41.166965,14.8,12.3,356.7
-96.497804,41.166922,19.2,23.5,356.7
-96.497805,41.166879,22.6,21.3,356.7
-96.497806,41.166836,20.1,21.4,356.7
-96.497806,41.166794,21.2,23.8,356.7
-96.497805,41.166752,22.8,33.1,356.8
-96.497807,41.16671,35.0,55.0,356.8
-96.497809,41.166667,32.3,47.7,356.8
-96.49781,41.166624,29.8,43.2,356.8
-96.497811,41.166582,29.7,43.9,356.8
-96.497812,41.166539,31.4,47.5,356.8
-96.497812,41.166496,34.4,53.9,356.8
-96.497813,41.166454,31.5,51.2,356.8
-96.497815,41.166411,23.8,46.7,356.8
-96.497815,41.166368,19.6,33.4,356.8
-96.497815,41.166325,18.1,28.4,356.8
-96.497816,41.166282,17.7,27.5,356.8
-96.497817,41.166239,18.5,28.6,356.8
-96.497817,41.166196,18.2,30.8,356.8
-96.497818,41.166153,19.1,34.6,356.8
-96.49782,41.16611,19.8,41.0,356.8
-96.497821,41.166066,24.9,48.6,356.8
-96.497822,41.166023,33.2,68.5,356.8
-96.497822,41.16598,41.8,69.7,356.8
-96.497823,41.165936,31.9,54.5,356.8
-96.497824,41.165893,29.3,50.5,356.8
-96.497824,41.16585,32.2,60.7,356.8
-96.497823,41.165805,32.7,56.0,356.8
-96.497823,41.165761,32.2,57.4,356.8
-96.497823,41.165718,34.6,69.4,356.8
-96.497823,41.165675,35.0,66.9,356.8
-96.497823,41.165631,24.4,40.7,356.8
-96.497823,41.165588,18.6,27.5,356.8
-96.497822,41.165545,15.9,22.9,356.8
-96.497823,41.165501,15.8,22.2,356.8
-96.497823,41.165458,13.6,18.5,356.8
-96.497823,41.165415,12.9,18.0,356.8
-96.497824,41.165371,14.3,19.1,356.8
-96.497824,41.165328,14.0,22.8,356.8
-96.497825,41.165284,12.9,19.9,356.8
-96.497825,41.165241,14.4,21.6,356.8
-96.497826,41.165198,16.2,20.9,356.8
-96.497827,41.165155,18.3,19.9,356.8
-96.497827,41.165116,18.2,20.5,356.8
-96.497828,41.165083,17.6,21.4,356.8
-96.497829,41.165053,14.4,17.9,356.8
-96.497829,41.165029,14.0,14.5,356.8
-96.497829,41.165013,14.5,13.6,356.8
-96.497827,41.165,13.2,13.8,356.8
-96.49782,41.164986,12.3,14.0,356.8
-96.497807,41.164975,11.9,13.6,356.8
-96.497792,41.164967,8.9,12.0,356.8
-96.497775,41.164962,8.4,15.5,356.8
-96.497757,41.164959,7.3,13.2,356.8
-96.497737,41.164958,5.3,12.9,356.8
-96.49772,41.16496,8.7,11.7,356.8
-96.497706,41.164967,8.4,20.0,356.8
-96.497695,41.164979,16.5,28.7,356.8
-96.497692,41.164994,16.4,25.0,356.8
-96.497692,41.165014,16.1,22.8,356.8
-96.49769,41.16504,16.5,20.1,356.8
-96.497689,41.165076,14.4,17.7,356.8
-96.49769,41.165118,15.3,18.5,356.8
-96.497691,41.16516,16.2,20.2,356.8
-96.49769,41.165203,15.1,19.4,356.8
-96.497689,41.165245,14.6,20.4,356.8
-96.49769,41.165288,14.5,19.9,356.8
-96.497689,41.165331,15.3,22.3,356.8
-96.49769,41.165374,15.0,20.4,356.8
-96.49769,41.165416,14.3,19.9,356.8
-96.497689,41.165458,15.1,19.5,356.8
-96.497689,41.165501,16.1,21.4,356.8
-96.497689,41.165544,16.0,22.8,356.8
-96.497689,41.165587,16.7,25.5,356.8
-96.497691,41.165629,21.2,32.0,356.8
-96.497691,41.165672,24.5,42.4,356.8
-96.49769,41.165714,30.8,57.2,356.8
-96.497688,41.165757,33.5,58.4,356.8
-96.497687,41.1658,25.6,46.9,356.8
-96.497686,41.165843,22.7,41.5,356.8
-96.497686,41.165886,19.8,33.9,356.8
-96.497686,41.165928,17.4,28.1,356.8
-96.497686,41.165971,16.2,24.6,356.8
-96.497686,41.166014,16.6,25.5,356.8
-96.497686,41.166056,18.2,27.7,356.8
-96.497685,41.166099,18.8,27.8,356.8
-96.497684,41.166141,15.4,27.3,356.8
-96.497683,41.166184,16.8,25.4,356.8
-96.497682,41.166227,17.8,23.6,356.8
-96.497682,41.16627,19.3,29.5,356.8
-96.497682,41.166314,22.6,38.4,356.8
-96.497682,41.166358,27.3,47.0,356.8
-96.497681,41.166402,28.4,47.8,356.8
-96.497681,41.166444,30.9,46.7,356.8
-96.49768,41.166487,31.8,46.1,356.8
-96.497679,41.166531,30.8,44.2,356.8
-96.497677,41.166575,29.1,42.7,356.8
-96.497674,41.166619,30.8,44.2,356.8
-96.497672,41.166663,30.9,52.2,356.8
-96.497672,41.166706,23.8,33.8,356.8
-96.497673,41.16675,21.4,25.5,356.8
-96.497672,41.166793,21.4,21.2,356.8
-96.497671,41.166837,23.2,24.2,356.8
-96.49767,41.166881,19.7,23.7,356.8
-96.497668,41.166925,16.4,12.8,356.8
-96.497667,41.166967,16.1,12.3,356.7
-96.497665,41.167009,13.5,12.3,356.7
-96.497665,41.167053,12.8,11.7,356.7
-96.497666,41.167097,12.6,11.5,356.7
-96.497665,41.16714,11.8,12.7,356.7
-96.497665,41.167184,12.9,12.2,356.7
-96.497664,41.167227,11.2,9.8,356.7
-96.497663,41.16727,11.3,11.7,356.7
-96.497662,41.167313,13.7,17.0,356.7
-96.497661,41.167356,10.8,13.6,356.7
-96.49766,41.1674,11.4,12.9,356.7
-96.497659,41.167443,11.2,16.3,356.7
-96.497659,41.167485,13.4,17.7,356.7
-96.497659,41.167528,17.7,24.7,356.7
-96.49766,41.167571,14.7,16.8,356.7
-96.49766,41.167615,15.4,14.7,356.7
-96.49766,41.167659,14.3,14.7,356.7
-96.49766,41.167701,13.9,14.1,356.7
-96.49766,41.167738,14.2,14.6,356.7
-96.497659,41.16777,14.2,15.2,356.7
-96.497658,41.167794,15.0,17.3,356.8
-96.497658,41.167815,14.7,15.8,356.8
-96.497659,41.167835,13.5,14.5,356.8
-96.497656,41.167854,13.2,16.1,356.8
-96.497647,41.16787,10.6,15.1,356.8
-96.497632,41.167879,9.0,14.5,356.8
-96.497612,41.167881,12.1,13.8,356.8
