Longitude,Latitude,EC1,EC2,Elevation
-120.039977,34.691493,35.8,54.7,328.84
-120.039978,34.691508,40.6,58.4,328.86
-120.039978,34.691524,43.5,51.6,328.88
-120.039978,34.691539,39.1,44.0,328.905
-120.03998,34.691554,38.6,41.0,328.94
-120.039981,34.691569,40.1,45.9,328.96
-120.039982,34.691584,38.8,46.3,328.955
-120.039982,34.691598,24.3,49.8,328.95
-120.039982,34.691612,37.9,47.9,328.955
-120.039982,34.691626,37.5,47.3,328.97
-120.039983,34.691641,35.4,52.9,329.0
-120.039983,34.691655,43.4,46.5,329.01
-120.039983,34.691668,47.3,52.3,329.0
-120.039983,34.691679,44.5,47.5,329.045
-120.039983,34.691689,37.4,45.8,329.14
-120.039983,34.691699,31.2,40.8,329.215
-120.039982,34.691708,28.7,37.3,329.265
-120.039917,34.691691,25.9,35.8,329.15
-120.039917,34.691684,25.9,41.4,329.115
-120.039916,34.691675,26.2,36.7,329.085
-120.039916,34.691663,33.0,45.9,329.085
-120.039916,34.691649,30.5,39.5,329.09
-120.039915,34.691634,35.2,40.6,329.11
-120.039914,34.691619,31.8,34.9,329.135
-120.039912,34.691604,30.1,37.8,329.135
-120.039911,34.69159,39.4,41.8,329.12
-120.039911,34.691575,35.7,38.5,329.11
-120.039912,34.69156,26.3,27.6,329.13
-120.039911,34.691546,35.9,38.8,329.16
-120.039909,34.691532,30.4,27.7,329.155
-120.039908,34.691518,27.7,31.9,329.13
-120.039908,34.691503,29.7,35.1,329.11
-120.039907,34.691489,35.8,42.4,329.07
-120.039906,34.691474,31.5,39.0,329.0
-120.039904,34.691459,33.1,49.6,328.93
-120.039904,34.691445,36.7,53.1,328.865
-120.039904,34.69143,38.1,51.6,328.8
-120.039903,34.691415,41.3,57.1,328.735
-120.039904,34.6914,49.8,55.2,328.675
-120.039904,34.691385,40.4,52.7,328.645
-120.039904,34.691371,36.5,43.1,328.62
-120.039904,34.691356,36.1,43.9,328.585
-120.039905,34.691341,33.8,42.8,328.555
-120.039905,34.691327,40.5,48.1,328.5
-120.039905,34.691297,48.0,45.1,328.37
-120.039905,34.691283,45.7,42.6,328.31
-120.039905,34.691269,32.7,38.8,328.265
-120.039905,34.691256,34.5,37.3,328.25
-120.039905,34.691241,32.4,34.0,328.245
-120.039904,34.691227,35.6,38.1,328.235
-120.039903,34.691213,45.1,46.8,328.225
-120.039902,34.691198,55.0,51.1,328.2
-120.039901,34.691184,53.2,53.0,328.15
-120.039899,34.69117,52.8,49.5,328.13
-120.039898,34.691156,43.7,54.2,328.165
-120.039898,34.691142,49.7,50.9,328.175
-120.039898,34.691126,50.7,56.8,328.13
-120.039899,34.691112,53.8,63.9,328.11
-120.039899,34.691098,52.9,55.5,328.13
-120.039899,34.691084,47.8,48.2,328.16
-120.039899,34.691069,57.5,45.1,328.185
-120.039901,34.691055,54.9,50.8,328.165
-120.039902,34.69104,52.8,52.8,328.11
-120.039902,34.691025,51.6,52.8,328.075
-120.039902,34.691011,45.9,51.6,328.075
-120.039901,34.690996,46.3,52.2,328.075
-120.039901,34.690981,47.8,57.2,328.045
-120.039901,34.690966,47.2,49.9,327.985
-120.0399,34.690952,45.5,45.8,327.95
-120.039898,34.690937,42.1,46.9,327.93
-120.039896,34.690923,38.7,43.0,327.865
-120.039896,34.690908,27.4,41.6,327.795
-120.039896,34.690894,23.5,41.5,327.75
-120.039894,34.690879,29.1,42.3,327.725
-120.039892,34.690865,33.7,48.3,327.73
-120.039892,34.69085,42.8,54.9,327.745
-120.039891,34.690836,48.8,58.9,327.75
-120.03989,34.690822,55.1,59.8,327.725
-120.039889,34.690808,52.5,46.7,327.66
-120.039889,34.690793,45.4,42.9,327.615
