Longitude,Latitude,EC1,EC2,Elevation
-120.669876,35.298348,100.2,41.3,83.93
-120.66989,35.298332,107.7,51.0,83.58
-120.669903,35.298315,85.1,44.9,83.48
-120.669916,35.298297,79.6,48.3,83.51
-120.669928,35.298279,85.3,58.2,83.51
-120.66994,35.298262,87.1,55.6,83.5
-120.669953,35.298245,95.5,48.5,83.49
-120.669965,35.298227,94.9,54.6,83.49
-120.669978,35.29821,93.5,61.7,83.505
-120.669991,35.298192,92.2,62.3,83.48
-120.670005,35.298174,89.1,60.7,83.375
-120.670019,35.298156,86.9,60.2,83.3
-120.670032,35.298138,98.6,69.2,83.22
-120.670045,35.29812,96.6,74.0,83.04
-120.670058,35.298102,103.0,72.1,82.905
-120.670072,35.298083,85.7,46.1,82.895
-120.670087,35.298065,57.5,22.0,82.915
-120.670101,35.298047,68.4,27.0,82.885
-120.670165,35.297954,86.9,44.1,82.475
-120.670177,35.297935,82.7,41.3,82.495
-120.670191,35.297917,96.2,45.7,82.495
-120.670203,35.297901,85.2,50.2,82.49
-120.670274,35.297815,94.4,60.7,81.92
-120.670287,35.297797,103.3,56.0,81.99
-120.670328,35.297743,79.5,52.2,82.25
-120.670344,35.297726,80.2,57.5,82.165
-120.670394,35.297658,109.4,72.1,81.81
-120.670406,35.297641,106.8,71.4,81.79
-120.670419,35.297625,104.4,85.9,81.745
-120.670433,35.297608,119.8,91.9,81.7
-120.670445,35.297591,134.8,101.6,81.675
-120.670458,35.297575,128.3,99.5,81.635
-120.670483,35.297542,120.2,93.3,81.53
-120.670495,35.297526,110.6,91.8,81.48
-120.670507,35.297509,112.9,103.8,81.46
-120.67052,35.297493,101.7,106.9,81.47
-120.67061,35.297377,62.7,29.7,81.56
-120.670635,35.297345,65.4,28.8,81.62
-120.67066,35.297312,85.6,45.8,81.32
-120.670685,35.29728,112.4,80.4,81.22
-120.670715,35.297248,118.1,87.9,80.845
-120.670739,35.297219,145.5,101.2,80.65
-120.670755,35.297196,125.1,108.8,80.525
-120.670763,35.297185,131.8,112.4,80.505
-120.670772,35.297174,130.7,123.4,80.54
